Дата,Поступление,Списание,Назначение платежа,Контрагент,Вид операции,Вх.номер,Вх.дата,Организация,Банковский счет,Комментарий
28.08.2020,1550.01,,,Каля,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
28.08.2020,1450.01,,,"Товариство з обмеженою відповідальністю ""ВАЙН ХАНТЕРС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
31.08.2020,5670.0,,,"Товариство з обмеженою відповідальністю ""ТОРГОВИЙ ДІМ ""МЕДІАТРЕЙДІНГ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
31.08.2020,2130.0,,,Фізична особа-підприємець Мігашко  ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
31.08.2020,2560.01,,,Фізична особа- підприємець Кузьменко Олександра Вікторівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
31.08.2020,760.01,,,Фізична особа-підприємець Чередниченко Олег Володимирович,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
01.09.2020,1500.0,,,Крутоголова Олена Вадимівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
01.09.2020,755.0,,,"Товариство з обмеженою відповідальністю ""ВІТІС ГРУП""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
01.09.2020,4590.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
01.09.2020,8100.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
01.09.2020,5940.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
01.09.2020,1080.0,,,Баррік,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
02.09.2020,626.21,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
02.09.2020,29843.15,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
03.09.2020,1649.99,,,"Товариство з обмеженою відповідальністю ""Первінко""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
04.09.2020,350.0,,, Ременнікова Гання Володимирівна ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
04.09.2020,14099.98,,,"Товариство з обмеженою відповідальністю ""Бурсательє""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
07.09.2020,1972.02,,,"Товариство з обмеженою відповідальністю ""ВІТІС ГРУП""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
07.09.2020,10000.0,,,КАНАПЕ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
08.09.2020,11470.08,,,"Товариство з обмеженою відповідальністю ""ТС ПЛЮС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
08.09.2020,2160.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
08.09.2020,3240.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
08.09.2020,8100.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
08.09.2020,5099.98,,,"Товариство з обмеженою відповідальністю ""Бурсательє""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
08.09.2020,1700.01,,,Каля,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
09.09.2020,1149.98,,,"ТОВ ""Тайдхантер""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
09.09.2020,7112.55,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
10.09.2020,2790.01,,,Баррік,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
10.09.2020,1560.01,,,"Товариство з обмеженою відповідальністю ""ВАЙН ХАНТЕРС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
11.09.2020,3024.0,,,"Товариство з обмеженою вiдповiдальнiстю ""Шато сервіс""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
11.09.2020,1130.02,,,Каля,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
14.09.2020,1140.01,,,С-78,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
14.09.2020,5916.0,,,"Товариство з обмеженою відповідальністю ""ТОРГОВИЙ ДІМ ""МЕДІАТРЕЙДІНГ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
14.09.2020,1529.99,,,Баррік,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
14.09.2020,200.0,,,ТОВ Сокар Петроліум,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
15.09.2020,1500.0,,,Крутоголова Олена Вадимівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
15.09.2020,5460.05,,, Кучер Тетяна Тимофіївна (СироВина),Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
15.09.2020,2899.99,,,Фізична особа-підприємець Галян Володимир Михайлович,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
15.09.2020,500.0,,,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВИНФОРТ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
15.09.2020,2190.0,,,"Товариство з обмеженою відповідальністю ""ВИНО І ЗДОРОВ'Я""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
16.09.2020,2400.05,,,"ТОВ ""Гольда""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
16.09.2020,1710.0,,,"Товариство з обмеженою відповідальністю ""Ліберті Дайнер""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
16.09.2020,15893.81,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.09.2020,3949.98,,,Вінсанто,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.09.2020,2000.0,,,Барбос,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.09.2020,4200.05,,,"Товариство з обмеженою відповідальністю ""Пароді""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
18.09.2020,7560.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
18.09.2020,23112.0,,,"Товариство з обмеженою відповідальністю  ""ФЛАГМАН СТОР""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
18.09.2020,1150.0,,,"Товариство з обмеженою відповідальністю ""БОГІВ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
21.09.2020,6910.06,,,"Товариство з обмеженою відповідальністю ""ТС ПЛЮС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
21.09.2020,649.99,,,ТОВ Сокар Петроліум,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
21.09.2020,7580.19,,,КАНАПЕ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
22.09.2020,1000.02,,,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВИНФОРТ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
22.09.2020,4671.0,,,Бернардацци,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
22.09.2020,1080.0,,,Бернардацци,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
22.09.2020,1010.0,,,Баррік,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
22.09.2020,1000.0,,,"Товариство з обмеженою відповідальністю ""БЕСТПРОЖЕКТ""РапонгиНиколаев",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
23.09.2020,1499.2,,,Крутоголова Олена Вадимівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
