Lot code,Lot Name,Volume (liters),Stage,Vintage,Varietal,Varietal %,Color,Vineyard,Block,Tanks,Barrels,Tags,Alc,RS,Free SO2,Total SO2,TA,VA,PH
CH6HA25,Chardonnay 6 ha,1350,Aging,2025,Chardonnay,100%,white,Blend,Blend,0,6,"#27, Beykush Chardonnay Reserve",,,,,,,
CH25,Chardonnay,5000,Aging,2025,Chardonnay,100%,white,Blend,Blend,202,0,"#26, #27, Artania White, Beykush Chardonnay",13,,35,96,7.6,0.48,
CHLIM25,Chardonnay Limanskyi,805,Aging,2025,Chardonnay,100%,white,Куцуруб,5,158,1,"#26, #27, Artania White, Beykush Chardonnay Reserve",,,,,,,
CS22,Cabernet Sauvignon,225,Aging,2022,Cabernet Sauvignon,100%,red,Участок 3 га,1,0,1,"#25, #BeykushLocaDeserta",12.5,,18,54,7.7,0.34,
CS23,Cabernet Sauvignon,675,Aging,2023,Cabernet Sauvignon,100%,red,Участок 3 га,1,0,3,"#26, #BeykushLocaDeserta",,,,,,3.3,
CS25,Cabernet Sauvignon,865,Aging,2025,Cabernet Sauvignon,100%,red,Участок 3 га,1,93,0,"#28, Beykush Loca Deserta",,,,,,,
CSCF22,CS+CF,225,Aging,2022,Cabernet Sauvignon,62.22%,red,Blend,Blend,0,1,"#25, #BeykushLocaDeserta",,,,,,,
CSCF24,CS+CF,1000,Aging,2024,Cabernet Franc,46.46%,red,Blend,Blend,51,4,"#27, Beykush Loca Deserta",13.8,,96,109,6.1,0.8,
CSL24,CS Limanskyi,3025,Aging,2024,Cabernet Sauvignon,99.17%,red,Blend,Blend,87,9,"#26, Artania Red",14.7,,10,32,8,0.48,
CUVEEBERBDB,Cuvee Beresagne Blanc de Blanc,107,Riddling,2015,Chardonnay,65%,sparkling,Blend,Blend,0,0,#21,,,,,,,
CUVEEBERROSE,Cuvee Beresagne Rosé,259,Riddling,2015,Pinot Noir,70%,sparkling,Blend,Blend,0,0,#21,,,,,,,
MBC22,Malbec,470,Aging,2022,Malbec,93.81%,red,Blend,Blend,0,2,"#25, #BeykushLocaDeserta",12.8,,14,47,6,0.34,
